"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"1",1,"1/1/17","TAM","CAR","W 17-16","Roberto Aguayo",46,"N","N","Home",71,"76",0,"Adam Vinatieri",87,21,20
"2",2,"1/1/17","KAN","SDG","W 37-27","Cairo Santos",37,"Y","N","Away",89,"56",2,"Andrew Franks",76,2,1
"3",3,"1/1/17","SDG","KAN","L 27-37","Josh Lambo",29,"Y","N","Home",81,"56",1,"Blair Walsh",75,5,4
"4",4,"1/1/17","DEN","OAK","W 24-6","Brandon McManus",48,"N","N","Home",85,"48",2,"Brandon McManus",85,3,2
"5",5,"1/1/17","LAR","ARI","L 6-44","Greg Zuerlein",37,"Y","N","Home",86,"56",4,"Cairo Santos",89,3,2
"6",6,"1/1/17","CIN","BAL","W 27-10","Randy Bullock",24,"Y","N","Home",83,"38",6,"Caleb Sturgis",85,4,3
"7",7,"1/1/17","BUF","NYJ","L 10-30","Dan Carpenter",34,"Y","N","Away",76,"45",8,"Chandler Catanzaro",75,3,2
"8",8,"1/1/17","BAL","CIN","L 10-27","Justin Tucker",30,"Y","N","Away",97,"38",4,"Chris Boswell",84,2,1
"9",9,"1/1/17","CAR","TAM","L 16-17","Graham Gano",54,"Y","N","Away",79,"76",7,"Cody Parkey",80,3,2
"10",10,"1/1/17","NWE","MIA","W 35-14","Stephen Gostkowski",26,"Y","N","Away",84,"80",10,"Connor Barth",78,8,7
"11",11,"1/1/17","CHI","MIN","L 10-38","Connor Barth",29,"Y","N","Away",78,"DOME",7,"Dan Bailey",84,6,5
"12",12,"1/1/17","SEA","SFO","W 25-23","Steven Hauschka",28,"Y","N","Away",89,"52",9,"Dan Carpenter",76,9,8
"13",13,"1/1/17","ARI","LAR","W 44-6","Chandler Catanzaro",34,"Y","N","Away",75,"56",2,"Dustin Hopkins",81,3,2
"14",14,"1/1/17","JAX","IND","L 20-24","Jason Myers",41,"Y","N","Away",79,"DOME",1,"Graham Gano",79,8,7
"15",15,"1/1/17","DAL","PHI","L 13-27","Dan Bailey",49,"Y","N","Away",84,"48",5,"Greg Zuerlein",86,5,4
"16",16,"1/1/17","NOR","ATL","L 32-38","Wil Lutz",19,"Y","N","Away",82,"DOME",0,"Jason Myers",79,2,1
"17",17,"1/1/17","IND","JAX","W 24-20","Adam Vinatieri",45,"Y","N","Home",87,"DOME",20,"Josh Brown",92,14,13
"18",18,"1/1/17","HOU","TEN","L 17-24","Nick Novak",45,"N","N","Away",85,"49",9,"Josh Lambo",81,2,1
"19",19,"1/1/17","WAS","NYG","L 10-19","Dustin Hopkins",57,"N","N","Home",81,"52",2,"Justin Tucker",97,5,4
"20",20,"1/1/17","SEA","SFO","W 25-23","Steven Hauschka",31,"Y","N","Away",89,"52",9,"Kai Forbath",100,6,5
"21",21,"1/1/17","PHI","DAL","W 27-13","Caleb Sturgis",22,"Y","N","Home",85,"48",3,"Mason Crosby",87,10,9
"22",22,"1/1/17","JAX","IND","L 20-24","Jason Myers",47,"Y","N","Away",79,"DOME",1,"Matt Bryant",92,16,15
"23",23,"1/1/17","NYJ","BUF","W 30-10","Nick Folk",36,"Y","N","Home",87,"45",9,"Matt Prater",86,11,10
"24",24,"1/1/17","GNB","DET","W 31-24","Mason Crosby",53,"Y","N","Away",87,"DOME",9,"Mike Nugent",79,13,12
"25",25,"1/1/17","CLE","PIT","L 24-27","Cody Parkey",49,"N","N","Away",80,"38",3,"Nick Folk",87,10,9
"26",26,"1/1/17","TAM","CAR","W 17-16","Roberto Aguayo",33,"Y","N","Home",71,"76",0,"Nick Novak",85,10,9
"27",27,"1/1/17","KAN","SDG","W 37-27","Cairo Santos",25,"Y","N","Away",89,"56",3,"Patrick Murray",50,2,1
"28",28,"1/1/17","SDG","KAN","L 27-37","Josh Lambo",35,"Y","N","Home",81,"56",1,"Phil Dawson",86,19,18
"29",29,"1/1/17","DEN","OAK","W 24-6","Brandon McManus",22,"Y","N","Home",85,"48",3,"Randy Bullock",83,7,6
"30",30,"1/1/17","ATL","NOR","W 38-32","Matt Bryant",22,"Y","N","Home",92,"DOME",15,"Robbie Gould",100,12,11
"31",31,"1/1/17","CIN","BAL","W 27-10","Randy Bullock",23,"Y","N","Home",83,"38",6,"Roberto Aguayo",71,1,0
"32",32,"1/1/17","CAR","TAM","L 16-17","Graham Gano",58,"N","N","Away",79,"76",7,"Ryan Succop",92,8,7
"33",33,"1/1/17","NWE","MIA","W 35-14","Stephen Gostkowski",40,"Y","N","Away",84,"80",10,"Sebastian Janikowski",83,17,16
"34",34,"1/1/17","SEA","SFO","W 25-23","Steven Hauschka",33,"Y","N","Away",89,"52",9,"Stephen Gostkowski",84,11,10
"35",35,"1/1/17","PHI","DAL","W 27-13","Caleb Sturgis",33,"Y","N","Home",85,"48",3,"SteVen Hauschka",89,10,9
"36",36,"1/1/17","NYG","WAS","W 19-10","Robbie Gould",40,"Y","N","Away",100,"52",11,"Wil Lutz",82,1,0
"37",37,"1/1/17","ARI","LAR","W 44-6","Chandler Catanzaro",32,"Y","N","Away",75,"38",2,"",NA,NA,NA
"38",38,"1/1/17","MIN","CHI","W 38-10","Kai Forbath",21,"Y","N","Home",100,"DOME",5,"",NA,NA,NA
"39",39,"1/1/17","DET","GNB","L 24-31","Matt Prater",54,"Y","N","Home",86,"DOME",10,"",NA,NA,NA
"40",40,"1/1/17","JAX","IND","L 20-24","Jason Myers",54,"N","N","Away",79,"DOME",1,"",NA,NA,NA
"41",41,"1/1/17","TAM","CAR","W 17-16","Roberto Aguayo",48,"N","Y","Home",71,"76",0,"",NA,NA,NA
"42",42,"1/1/17","IND","JAX","W 24-20","Adam Vinatieri",48,"N","N","Home",87,"DOME",20,"",NA,NA,NA
"43",43,"1/1/17","LAR","ARI","L 6-44","Greg Zuerlein",36,"Y","N","Home",86,"56",4,"",NA,NA,NA
"44",44,"1/1/17","NYJ","BUF","W 30-10","Nick Folk",30,"Y","N","Home",87,"45",9,"",NA,NA,NA
"45",45,"1/1/17","KAN","SDG","W 37-27","Cairo Santos",35,"Y","N","Away",89,"56",2,"",NA,NA,NA
"46",46,"1/1/17","CAR","TAM","L 16-17","Graham Gano",36,"N","N","Away",79,"76",7,"",NA,NA,NA
"47",47,"1/1/17","NWE","MIA","W 35-14","Stephen Gostkowski",52,"N","N","Away",84,"80",10,"",NA,NA,NA
"48",48,"1/1/17","ARI","LAR","W 44-6","Chandler Catanzaro",47,"Y","N","Away",75,"56",2,"",NA,NA,NA
"49",49,"1/1/17","DAL","PHI","L 13-27","Dan Bailey",23,"Y","N","Away",84,"48",5,"",NA,NA,NA
"50",50,"1/1/17","NOR","ATL","L 32-38","Wil Lutz",40,"Y","N","Away",82,"DOME",0,"",NA,NA,NA
"51",51,"1/1/17","CLE","PIT","L 24-27","Cody Parkey",34,"Y","N","Away",80,"38",2,"",NA,NA,NA
"52",52,"1/1/17","TEN","HOU","W 24-17","Ryan Succop",35,"Y","N","Home",92,"49",7,"",NA,NA,NA
"53",53,"1/1/17","CAR","TAM","L 16-17","Graham Gano",45,"N","N","Away",79,"76",7,"",NA,NA,NA
"54",54,"1/1/17","HOU","TEN","L 17-24","Nick Novak",26,"Y","N","Away",85,"49",9,"",NA,NA,NA
"55",55,"1/1/17","WAS","NYG","L 10-19","Dustin Hopkins",32,"Y","N","Home",81,"52",2,"",NA,NA,NA
"56",56,"1/1/17","SEA","SFO","W 25-23","Steven Hauschka",32,"Y","N","Away",89,"52",9,"",NA,NA,NA
"57",57,"1/1/17","PHI","DAL","W 27-13","Caleb Sturgis",49,"N","N","Home",85,"48",3,"",NA,NA,NA
"58",58,"1/1/17","NYG","WAS","W 19-10","Robbie Gould",22,"Y","N","Away",100,"52",11,"",NA,NA,NA
"59",59,"1/1/17","DET","GNB","L 24-31","Matt Prater",39,"N","N","Home",86,"DOME",10,"",NA,NA,NA
"60",60,"1/1/17","JAX","IND","L 20-24","Jason Myers",30,"N","N","Away",79,"DOME",1,"",NA,NA,NA
"61",61,"1/1/17","NYJ","BUF","W 30-10","Nick Folk",25,"Y","N","Home",87,"45",9,"",NA,NA,NA
"62",62,"12/26/16","DET","DAL","L 21-42","Matt Prater",47,"N","N","Away",86,"",10,"",NA,NA,NA
"63",63,"12/25/16","PIT","BAL","W 31-27","Chris Boswell",36,"Y","N","Home",84,"",1,"",NA,NA,NA
"64",64,"12/25/16","KAN","DEN","W 33-10","Cairo Santos",39,"Y","N","Home",89,"",2,"",NA,NA,NA
"65",65,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",38,"Y","N","Away",97,"",4,"",NA,NA,NA
"66",66,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",23,"Y","N","Away",97,"",4,"",NA,NA,NA
"67",67,"12/25/16","KAN","DEN","W 33-10","Cairo Santos",27,"Y","N","Home",89,"",2,"",NA,NA,NA
"68",68,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",41,"Y","N","Away",97,"",4,"",NA,NA,NA
"69",69,"12/25/16","DEN","KAN","L 10-33","Brandon McManus",52,"Y","N","Away",85,"",2,"",NA,NA,NA
"70",70,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",46,"Y","N","Away",97,"",4,"",NA,NA,NA
"71",71,"12/25/16","KAN","DEN","W 33-10","Cairo Santos",39,"N","N","Home",89,"",2,"",NA,NA,NA
"72",72,"12/24/16","CAR","ATL","L 16-33","Graham Gano",31,"Y","N","Home",79,"",7,"",NA,NA,NA
"73",73,"12/24/16","IND","OAK","L 25-33","Adam Vinatieri",42,"Y","N","Away",87,"",20,"",NA,NA,NA
"74",74,"12/24/16","HOU","CIN","W 12-10","Nick Novak",25,"Y","N","Home",85,"",9,"",NA,NA,NA
"75",75,"12/24/16","WAS","CHI","W 41-21","Dustin Hopkins",29,"Y","N","Away",81,"",2,"",NA,NA,NA
"76",76,"12/24/16","SEA","ARI","L 31-34","Steven Hauschka",45,"N","Y","Home",89,"",9,"",NA,NA,NA
"77",77,"12/24/16","JAX","TEN","W 38-17","Jason Myers",56,"Y","N","Home",79,"",1,"",NA,NA,NA
"78",78,"12/24/16","NYJ","NWE","L 3-41","Nick Folk",29,"Y","N","Away",87,"",9,"",NA,NA,NA
"79",79,"12/24/16","CLE","SDG","W 20-17","Cody Parkey",49,"Y","N","Home",80,"",2,"",NA,NA,NA
"80",80,"12/24/16","SDG","CLE","L 17-20","Josh Lambo",32,"N","Y","Away",81,"",1,"",NA,NA,NA
"81",81,"12/24/16","MIA","BUF","W 34-31","Andrew Franks",27,"Y","N","Away",76,"",1,"",NA,NA,NA
"82",82,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",29,"Y","N","Away",92,"",15,"",NA,NA,NA
"83",83,"12/24/16","CIN","HOU","L 10-12","Randy Bullock",43,"Y","N","Away",83,"",6,"",NA,NA,NA
"84",84,"12/24/16","BUF","MIA","L 31-34","Dan Carpenter",46,"N","N","Home",76,"",8,"",NA,NA,NA
"85",85,"12/24/16","TEN","JAX","L 17-38","Ryan Succop",42,"Y","N","Away",92,"",7,"",NA,NA,NA
"86",86,"12/24/16","CAR","ATL","L 16-33","Graham Gano",31,"Y","N","Home",79,"",7,"",NA,NA,NA
"87",87,"12/24/16","NWE","NYJ","W 41-3","Stephen Gostkowski",29,"Y","N","Home",84,"",10,"",NA,NA,NA
"88",88,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",51,"Y","N","Away",92,"",15,"",NA,NA,NA
"89",89,"12/24/16","ARI","SEA","W 34-31","Chandler Catanzaro",42,"Y","N","Away",75,"",2,"",NA,NA,NA
"90",90,"12/24/16","MIN","GNB","L 25-38","Kai Forbath",22,"Y","N","Away",100,"",5,"",NA,NA,NA
"91",91,"12/24/16","NOR","TAM","W 31-24","Wil Lutz",42,"Y","N","Home",82,"",0,"",NA,NA,NA
"92",92,"12/24/16","JAX","TEN","W 38-17","Jason Myers",48,"Y","N","Home",79,"",1,"",NA,NA,NA
"93",93,"12/24/16","BUF","MIA","L 31-34","Dan Carpenter",45,"N","N","Home",76,"",8,"",NA,NA,NA
"94",94,"12/24/16","NYJ","NWE","L 3-41","Nick Folk",34,"N","N","Away",87,"",9,"",NA,NA,NA
"95",95,"12/24/16","SDG","CLE","L 17-20","Josh Lambo",43,"Y","N","Away",81,"",1,"",NA,NA,NA
"96",96,"12/24/16","MIA","BUF","W 34-31","Andrew Franks",55,"Y","N","Away",76,"",1,"",NA,NA,NA
"97",97,"12/24/16","CHI","WAS","L 21-41","Connor Barth",22,"N","Y","Home",78,"",7,"",NA,NA,NA
"98",98,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",30,"N","Y","Away",92,"",15,"",NA,NA,NA
"99",99,"12/24/16","NOR","TAM","W 31-24","Wil Lutz",21,"Y","N","Home",82,"",0,"",NA,NA,NA
"100",100,"12/24/16","CAR","ATL","L 16-33","Graham Gano",40,"Y","N","Home",79,"",7,"",NA,NA,NA
"101",101,"12/24/16","HOU","CIN","W 12-10","Nick Novak",22,"Y","N","Home",85,"",9,"",NA,NA,NA
"102",102,"12/24/16","WAS","CHI","W 41-21","Dustin Hopkins",20,"Y","N","Away",81,"",2,"",NA,NA,NA
"103",103,"12/24/16","SEA","ARI","L 31-34","Steven Hauschka",27,"Y","N","Home",89,"",9,"",NA,NA,NA
"104",104,"12/24/16","ARI","SEA","W 34-31","Chandler Catanzaro",53,"N","N","Away",75,"",2,"",NA,NA,NA
"105",105,"12/24/16","JAX","TEN","W 38-17","Jason Myers",50,"Y","N","Home",79,"",1,"",NA,NA,NA
"106",106,"12/24/16","GNB","MIN","W 38-25","Mason Crosby",48,"Y","N","Home",87,"",9,"",NA,NA,NA
"107",107,"12/24/16","CLE","SDG","W 20-17","Cody Parkey",27,"Y","N","Home",80,"",2,"",NA,NA,NA
"108",108,"12/24/16","SDG","CLE","L 17-20","Josh Lambo",45,"N","N","Away",81,"",1,"",NA,NA,NA
"109",109,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",50,"Y","N","Away",92,"",15,"",NA,NA,NA
"110",110,"12/24/16","JAX","TEN","W 38-17","Jason Myers",29,"Y","N","Home",79,"",1,"",NA,NA,NA
"111",111,"12/24/16","CIN","HOU","L 10-12","Randy Bullock",43,"N","N","Away",83,"",6,"",NA,NA,NA
"112",112,"12/24/16","BUF","MIA","L 31-34","Dan Carpenter",28,"Y","N","Home",76,"",8,"",NA,NA,NA
"113",113,"12/24/16","TAM","NOR","L 24-31","Roberto Aguayo",35,"Y","N","Away",71,"",0,"",NA,NA,NA
"114",114,"12/24/16","NWE","NYJ","W 41-3","Stephen Gostkowski",22,"Y","N","Home",84,"",10,"",NA,NA,NA
"115",115,"12/24/16","MIA","BUF","W 34-31","Andrew Franks",46,"N","N","Away",76,"",1,"",NA,NA,NA
"116",116,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",48,"Y","N","Away",92,"",15,"",NA,NA,NA
"117",117,"12/24/16","ARI","SEA","W 34-31","Chandler Catanzaro",43,"Y","N","Away",75,"",2,"",NA,NA,NA
"118",118,"12/24/16","MIN","GNB","L 25-38","Kai Forbath",26,"Y","N","Away",100,"",5,"",NA,NA,NA
"119",119,"12/24/16","NOR","TAM","W 31-24","Wil Lutz",34,"Y","N","Home",82,"",0,"",NA,NA,NA
"120",120,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",35,"Y","N","Away",100,"",11,"",NA,NA,NA
"121",121,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",41,"Y","N","Away",100,"",11,"",NA,NA,NA
"122",122,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",35,"Y","N","Away",100,"",11,"",NA,NA,NA
"123",123,"12/22/16","PHI","NYG","W 24-19","Caleb Sturgis",41,"Y","N","Home",85,"",3,"",NA,NA,NA
"124",124,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",29,"Y","N","Away",100,"",11,"",NA,NA,NA
"125",125,"12/19/16","CAR","WAS","W 26-15","Graham Gano",23,"Y","N","Away",79,"",7,"",NA,NA,NA
"126",126,"12/19/16","WAS","CAR","L 15-26","Dustin Hopkins",43,"Y","N","Home",81,"",2,"",NA,NA,NA
"127",127,"12/19/16","CAR","WAS","W 26-15","Graham Gano",41,"Y","N","Away",79,"",7,"",NA,NA,NA
"128",128,"12/19/16","WAS","CAR","L 15-26","Dustin Hopkins",34,"Y","N","Home",81,"",2,"",NA,NA,NA
"129",129,"12/19/16","CAR","WAS","W 26-15","Graham Gano",23,"Y","N","Away",79,"",7,"",NA,NA,NA
"130",130,"12/19/16","CAR","WAS","W 26-15","Graham Gano",38,"N","N","Away",79,"",7,"",NA,NA,NA
"131",131,"12/19/16","WAS","CAR","L 15-26","Dustin Hopkins",26,"Y","N","Home",81,"",2,"",NA,NA,NA
"132",132,"12/19/16","CAR","WAS","W 26-15","Graham Gano",35,"Y","N","Away",79,"",7,"",NA,NA,NA
"133",133,"12/18/16","TEN","KAN","W 19-17","Ryan Succop",39,"Y","N","Away",92,"",7,"",NA,NA,NA
"134",134,"12/18/16","OAK","SDG","W 19-16","Sebastian Janikowski",45,"Y","N","Away",83,"",16,"",NA,NA,NA
"135",135,"12/18/16","NWE","DEN","W 16-3","Stephen Gostkowski",40,"Y","N","Away",84,"",10,"",NA,NA,NA
"136",136,"12/18/16","ATL","SFO","W 41-13","Matt Bryant",50,"Y","N","Home",92,"",15,"",NA,NA,NA
"137",137,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",29,"Y","N","Away",85,"",3,"",NA,NA,NA
"138",138,"12/18/16","ARI","NOR","L 41-48","Chandler Catanzaro",55,"N","N","Home",75,"",2,"",NA,NA,NA
"139",139,"12/18/16","MIN","IND","L 6-34","Kai Forbath",32,"Y","N","Home",100,"",5,"",NA,NA,NA
"140",140,"12/18/16","DET","NYG","L 6-17","Matt Prater",48,"Y","N","Away",86,"",10,"",NA,NA,NA
"141",141,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",27,"Y","N","Home",84,"",5,"",NA,NA,NA
"142",142,"12/18/16","NOR","ARI","W 48-41","Wil Lutz",37,"Y","N","Away",82,"",0,"",NA,NA,NA
"143",143,"12/18/16","GNB","CHI","W 30-27","Mason Crosby",32,"Y","N","Away",87,"",9,"",NA,NA,NA
"144",144,"12/18/16","DEN","NWE","L 3-16","Brandon McManus",33,"Y","N","Home",85,"",2,"",NA,NA,NA
"145",145,"12/18/16","HOU","JAX","W 21-20","Nick Novak",45,"Y","N","Home",85,"",9,"",NA,NA,NA
"146",146,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",45,"Y","N","Away",85,"",3,"",NA,NA,NA
"147",147,"12/18/16","JAX","HOU","L 20-21","Jason Myers",50,"Y","N","Away",79,"",1,"",NA,NA,NA
"148",148,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",40,"Y","N","Away",84,"",1,"",NA,NA,NA
"149",149,"12/18/16","TAM","DAL","L 20-26","Roberto Aguayo",34,"Y","N","Away",71,"",0,"",NA,NA,NA
"150",150,"12/18/16","KAN","TEN","L 17-19","Cairo Santos",34,"Y","N","Home",89,"",2,"",NA,NA,NA
"151",151,"12/18/16","OAK","SDG","W 19-16","Sebastian Janikowski",21,"Y","N","Away",83,"",16,"",NA,NA,NA
"152",152,"12/18/16","CHI","GNB","L 27-30","Connor Barth",26,"Y","N","Home",78,"",7,"",NA,NA,NA
"153",153,"12/18/16","BAL","PHI","W 27-26","Justin Tucker",53,"Y","N","Home",97,"",4,"",NA,NA,NA
"154",154,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",45,"Y","N","Away",84,"",1,"",NA,NA,NA
"155",155,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",40,"Y","N","Home",84,"",5,"",NA,NA,NA
"156",156,"12/18/16","NWE","DEN","W 16-3","Stephen Gostkowski",45,"Y","N","Away",84,"",10,"",NA,NA,NA
"157",157,"12/18/16","IND","MIN","W 34-6","Adam Vinatieri",50,"Y","N","Away",87,"",20,"",NA,NA,NA
"158",158,"12/18/16","HOU","JAX","W 21-20","Nick Novak",27,"Y","N","Home",85,"",9,"",NA,NA,NA
"159",159,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",27,"Y","N","Away",85,"",3,"",NA,NA,NA
"160",160,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",30,"Y","N","Away",84,"",1,"",NA,NA,NA
"161",161,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",56,"N","N","Home",84,"",5,"",NA,NA,NA
"162",162,"12/18/16","GNB","CHI","W 30-27","Mason Crosby",18,"Y","N","Away",87,"",9,"",NA,NA,NA
"163",163,"12/18/16","CLE","BUF","L 13-33","Cody Parkey",40,"Y","N","Away",80,"",2,"",NA,NA,NA
