,Tm,G,AvgDist,FGM,FGA,FG%
Patrick Murray\MurrPa01,CLE,2,43.50,1,2,50.0%
Randy Bullock\BullRa00,2TM,4,32.67,8,9,88.9%
Robbie Gould\gouldrob01,NYG,6,36.30,10,10,100.0%
Josh Brown\brownjos01,NYG,5,34.33,11,12,91.7%
Kai Forbath\ForbKa00,MIN,7,34.33,15,15,100.0%
Blair Walsh\WalsBl00,MIN,8,38.88,12,16,75.0%
Andrew Franks\FranAn01,MIA,12,32.86,16,21,76.2%
Phil Dawson\dawsophi01,SFO,11,40.33,18,21,85.7%
Greg Zuerlein\ZuerGr00,RAM,11,38.68,19,22,86.4%
Connor Barth\barthco01,CHI,14,35.35,18,23,78.3%
Ryan Succop\SuccRy44,TEN,15,39.33,22,24,91.7%
Dan Carpenter\CarpDa44,BUF,14,36.16,19,25,76.0%
Chris Boswell\BoswCh00,PIT,10,40.64,21,25,84.0%
Cody Parkey\ParkCo03,CLE,12,37.60,20,25,80.0%
Chandler Catanzaro\CataCh00,ARI,14,39.07,21,28,75.0%
Mike Nugent\nugenmik01,CIN,12,35.17,23,29,79.3%
Mason Crosby\CrosMa20,GNB,14,35.40,26,30,86.7%
Nick Folk\FolkNi20,NYJ,15,33.97,27,31,87.1%
Roberto Aguayo\AguaRo00,TAM,14,36.68,22,31,71.0%
Adam Vinatieri\vinatada01,IND,15,43.16,27,31,87.1%
Josh Lambo\LambJo00,SDG,16,36.38,26,32,81.3%
Stephen Gostkowski\GostSt20,NWE,14,37.16,27,32,84.4%
Dan Bailey\BailDa00,DAL,13,38.41,27,32,84.4%
Brandon McManus\McMaBr01,DEN,15,37.88,29,34,85.3%
Wil Lutz\LutzWi00,NOR,13,37.53,28,34,82.4%
Jason Myers\MyerJa00,JAX,14,42.82,27,34,79.4%
Sebastian Janikowski\janikseb01,OAK,13,38.54,29,35,82.9%
Cairo Santos\SantCa01,KAN,14,35.63,31,35,88.6%
Matt Prater\PratMa20,DET,16,40.17,31,36,86.1%
Matt Bryant\bryanmat01,ATL,15,37.30,34,37,91.9%
Steven Hauschka\HausSt00,SEA,16,34.14,33,37,89.2%
Graham Gano\GanoGr44,CAR,14,40.61,30,38,78.9%
Justin Tucker\TuckJu00,BAL,16,41.95,38,39,97.4%
Caleb Sturgis\SturCa00,PHI,15,37.63,35,41,85.4%
Nick Novak\novaknic01,HOU,14,36.78,35,41,85.4%
Dustin Hopkins\HopkDu00,WAS,16,36.90,34,42,81.0%
36 kickers,,,37.73,850,1009,84.2%